base_model,epoch,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy,test_loss,num_params,classification_time
inception,1,0.12,4.45,0.433467742,3.0631821,0.42641129,3.07293222,24023960,0.038515877
inception,2,0.39,3.451,0.627016129,1.558847504,0.642137097,1.55721674,24023960,0.036828447
inception,3,0.52,2.589,0.713709677,1.02837488,0.71875,0.988885706,24023960,0.031715277
inception,4,0.58,2.062,0.740927419,0.903485285,0.746975806,0.844056888,24023960,0.031994845
inception,5,0.62,1.768,0.757056452,0.843504151,0.758064516,0.803391412,24023960,0.033745497
inception,6,0.66,1.576,0.760080645,0.823920578,0.772177419,0.797467353,24023960,0.031571747
inception,7,0.68,1.442,0.766129032,0.831547896,0.767137097,0.795955101,24023960,0.031607745
inception,8,0.7,1.333,0.773185484,0.820893704,0.786290323,0.792795048,24023960,0.031622614
inception,9,0.72,1.249,0.775201613,0.828138099,0.772177419,0.84422748,24023960,0.033726554
inception,10,0.74,1.171,0.777217742,0.857152131,0.77016129,0.844627534,24023960,0.031285757
inception,11,0.75,1.101,0.782258065,0.840136321,0.773185484,0.830469877,24023960,0.032276384
inception,12,0.77,1.039,0.788306452,0.855863944,0.778225806,0.841929101,24023960,0.031463555
inception,13,0.78,0.985,0.778225806,0.882624028,0.778225806,0.861855919,24023960,0.031632006
inception,14,0.8,0.93,0.772177419,0.918322152,0.785282258,0.886134238,24023960,0.031295983
inception,15,0.81,0.883,0.775201613,0.91874334,0.77016129,0.901142681,24023960,0.031868122
inception,16,0.83,0.839,0.775201613,0.897489517,0.774193548,0.901089345,24023960,0.031164732
inception,17,0.84,0.794,0.786290323,0.932672484,0.78125,0.918796546,24023960,0.031048016
inception,18,0.84,0.755,0.78125,0.913486506,0.783266129,0.905338826,24023960,0.032183673
inception,19,0.86,0.723,0.773185484,0.935313224,0.777217742,0.915257003,24023960,0.031582923
inception,20,0.87,0.684,0.776209677,0.931444306,0.776209677,0.917876535,24023960,0.031389072
inception,21,0.88,0.653,0.768145161,0.959379066,0.774193548,0.946531022,24023960,0.032279922
inception,22,0.89,0.627,0.78125,0.949870533,0.775201613,0.964759815,24023960,0.031648148
inception,23,0.9,0.584,0.768145161,0.977431738,0.773185484,0.987089668,24023960,0.031862877
inception,24,0.9,0.57,0.774193548,0.977120924,0.775201613,0.968844843,24023960,0.031265109
inception,25,0.91,0.532,0.765120968,0.991474012,0.77016129,0.989607586,24023960,0.031049568
inception,26,0.92,0.513,0.773185484,1.007031551,0.772177419,0.996648337,24023960,0.031440602
