Classification Report for inception_resnet_v2,precision,  recall  ,f1-score   ,support
toy_poodle   ,0.62,0.5,0.56,10
samoyed   ,1,1,1,7
redbone   ,0.5,0.5,0.5,6
shih-tzu   ,0.75,0.75,0.75,8
west_highland_white_terrier   ,0.75,1,0.86,6
schipperke   ,1,0.71,0.83,7
bluetick   ,0.62,0.89,0.73,9
standard_schnauzer   ,0.7,0.78,0.74,9
groenendael   ,1,0.8,0.89,5
italian_greyhound   ,0.83,0.62,0.71,8
brabancon_griffon   ,0.9,1,0.95,9
english_setter   ,0.88,0.7,0.78,10
airedale   ,0.88,0.88,0.88,17
rhodesian_ridgeback   ,1,0.57,0.73,7
miniature_schnauzer   ,1,0.67,0.8,12
blenheim_spaniel   ,0.77,0.83,0.8,12
collie   ,1,0.25,0.4,4
tibetan_terrier   ,0.82,0.95,0.88,19
chesapeake_bay_retriever   ,0.8,0.8,0.8,5
welsh_springer_spaniel   ,0.33,1,0.5,3
afghan_hound   ,0.75,0.86,0.8,7
whippet   ,1,0.56,0.71,9
affenpinscher   ,1,1,1,6
kerry_blue_terrier   ,1,1,1,9
dhole   ,1,1,1,8
bernese_mountain_dog   ,0.78,1,0.88,7
entlebucher   ,0.88,0.88,0.88,8
boston_bull   ,0.92,0.86,0.89,14
great_pyrenees   ,0.8,0.89,0.84,9
kelpie   ,0.64,0.78,0.7,9
ibizan_hound   ,0.92,1,0.96,11
miniature_poodle   ,0.67,0.44,0.53,9
black-and-tan_coonhound   ,1,0.67,0.8,6
eskimo_dog   ,0.43,0.25,0.32,12
old_english_sheepdog   ,0.8,0.8,0.8,5
australian_terrier   ,0.9,0.64,0.75,14
curly-coated_retriever   ,1,1,1,7
english_foxhound   ,0.86,0.55,0.67,11
weimaraner   ,1,0.8,0.89,10
norfolk_terrier   ,0.83,0.71,0.77,7
irish_water_spaniel   ,0.88,1,0.93,7
silky_terrier   ,0.7,0.78,0.74,9
boxer   ,1,1,1,9
brittany_spaniel   ,0.8,0.5,0.62,8
bull_mastiff   ,0.8,1,0.89,4
chihuahua   ,1,1,1,2
basset   ,1,0.5,0.67,6
sealyham_terrier   ,0.92,1,0.96,11
french_bulldog   ,0.69,1,0.82,9
chow   ,0.9,1,0.95,9
cairn   ,1,0.89,0.94,9
toy_terrier   ,0.91,0.77,0.83,13
basenji   ,0.88,0.64,0.74,11
malamute   ,0.55,0.75,0.63,8
appenzeller   ,0.67,0.25,0.36,8
golden_retriever   ,0.91,0.83,0.87,12
briard   ,0.89,0.8,0.84,10
walker_hound   ,0.29,0.67,0.4,3
saluki   ,0.8,1,0.89,4
irish_terrier   ,0.86,0.92,0.89,13
komondor   ,1,1,1,7
cardigan   ,0.71,0.62,0.67,8
labrador_retriever   ,0.67,0.57,0.62,7
doberman   ,0.88,1,0.93,7
english_springer   ,1,1,1,9
saint_bernard   ,1,1,1,5
shetland_sheepdog   ,1,1,1,4
otterhound   ,0.88,0.88,0.88,8
irish_wolfhound   ,0.75,0.75,0.75,12
soft-coated_wheaten_terrier   ,0.8,0.8,0.8,5
staffordshire_bullterrier   ,0.67,0.4,0.5,5
border_terrier   ,0.67,1,0.8,6
pembroke   ,0.75,0.9,0.82,10
bloodhound   ,0.85,0.85,0.85,13
vizsla   ,1,0.71,0.83,7
norwegian_elkhound   ,1,0.89,0.94,9
rottweiler   ,1,0.88,0.93,8
cocker_spaniel   ,1,0.73,0.84,11
scottish_deerhound   ,0.93,0.81,0.87,16
great_dane   ,0.89,1,0.94,8
keeshond   ,1,1,1,9
irish_setter   ,1,0.89,0.94,9
kuvasz   ,1,1,1,3
border_collie   ,0.38,1,0.55,3
bedlington_terrier   ,1,1,1,11
pug   ,1,0.83,0.91,6
yorkshire_terrier   ,0.5,1,0.67,7
lhasa   ,0.62,1,0.77,5
african_hunting_dog   ,1,1,1,13
miniature_pinscher   ,1,0.87,0.93,15
flat-coated_retriever   ,0.67,0.67,0.67,3
lakeland_terrier   ,0.38,0.75,0.5,4
giant_schnauzer   ,0.8,1,0.89,8
mexican_hairless   ,1,0.83,0.91,12
wire-haired_fox_terrier   ,0.86,0.6,0.71,10
clumber   ,1,0.89,0.94,9
gordon_setter   ,0.92,1,0.96,12
german_short-haired_pointer   ,1,0.83,0.91,6
standard_poodle   ,0.73,1,0.85,11
papillon   ,1,1,1,3
japanese_spaniel   ,0.75,1,0.86,9
dingo   ,1,0.88,0.93,8
leonberg   ,0.92,1,0.96,11
scotch_terrier   ,0.75,1,0.86,3
tibetan_mastiff   ,1,0.89,0.94,9
beagle   ,0.5,0.86,0.63,7
malinois   ,0.6,1,0.75,9
pekinese   ,0.93,0.93,0.93,14
greater_swiss_mountain_dog   ,0.7,0.88,0.78,8
sussex_spaniel   ,1,0.9,0.95,10
bouvier_des_flandres   ,0.78,0.78,0.78,9
maltese_dog   ,0.88,0.82,0.85,17
newfoundland   ,1,0.8,0.89,5
borzoi   ,1,0.9,0.95,10
dandie_dinmont   ,0.89,1,0.94,8
german_shepherd   ,0.82,0.82,0.82,11
american_staffordshire_terrier   ,0.62,0.71,0.67,7
pomeranian   ,1,0.67,0.8,6
siberian_husky   ,0.56,0.56,0.56,16
norwich_terrier   ,1,1,1,5
micro avg   ,0.83,0.83,0.83,1022
macro avg   ,0.84,0.83,0.82,1022
weighted avg   ,0.85,0.83,0.83,1022
